Type,EDI_Std_Nomenclature,AISC_Manual_Label,T_F,W,A,d,ddet,Ht,h,OD,bf,bfdet,B,b,ID,tw,twdet,twdet/2,tf,tfdet,t,tnom,tdes,kdes,kdet,k1,x,y,eo,xp,yp,bf/2tf,b/t,b/tdes,h/tw,h/tdes,D/t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,Iz,rz,Sz,J,Cw,C,Wno,Sw1,Sw2,Sw3,Qf,Qw,ro,H,tan(?),Iw,zA,zB,zC,wA,wB,wC,SwA,SwB,SwC,SzA,SzB,SzC,rts,ho,PA,PA2,PB,PC,PD,T,WGi,WGo,EDI_Std_Nomenclature,AISC_Manual_Label,W,A,d,ddet,Ht,h,OD,bf,bfdet,B,b,ID,tw,twdet,twdet/2,tf,tfdet,t,tnom,tdes,kdes,kdet,k1,x,y,eo,xp,yp,bf/2tf,b/t,b/tdes,h/tw,h/tdes,D/t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,Iz,rz,Sz,J,Cw,C,Wno,Sw1,Sw2,Sw3,Qf,Qw,ro,H,tan(?),Iw,zA,zB,zC,wA,wB,wC,SwA,SwB,SwC,SzA,SzB,SzC,rts,ho,PA,PA2,PB,PC,PD,T,WGi,WGo
C,C8X11.5,C8X11.5,–,11.5,3.37,8.00,8      ,–,–,–,2.26,2  1/4 ,–,–,–,0.220,  1/4 ,  1/8 ,0.390,  3/8 ,–,–,–,0.938, 15/16,–,0.572,–,0.697,0.211,–,–,5.79,–,28.9,–,–,32.5,9.63,8.14,3.11,1.31,1.57,0.775,0.623,–,–,–,0.130,16.5,–,5.11,1.34,0.855,0.430,3.03,4.79,3.41,0.862,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.756,7.61,21.9,–,24.1,18.3,20.5,6  1/8 ,1  3/8 ,–,C200X17.1,C200X17.1,17.1,2170,203,203,–,–,–,57.4,57.2,–,–,–,5.59,6.35,3.18,9.91,9.52,–,–,–,23.8,23.8,–,14.5,–,17.7,5.36,–,–,5.79,–,28.9,–,–,13.5,158,133,79.0,0.545,25.7,12.7,15.8,–,–,–,54.1,4.43,–,3300,0.558,0.356,0.179,49.7,78.5,86.6,0.862,–,–,–,–,–,–,–,–,–,–,–,–,–,–,19.2,193,556,–,612,465,521,156,34.9,–
C,C7X14.75,C7X14.75,–,14.75,4.33,7.00,7      ,–,–,–,2.30,2  1/4 ,–,–,–,0.419,  7/16,  1/4 ,0.366,  3/8 ,–,–,–,0.875,  7/8 ,–,0.532,–,0.441,0.309,–,–,6.28,–,12.9,–,–,27.2,9.75,7.78,2.51,1.37,1.63,0.772,0.561,–,–,–,0.267,13.1,–,4.78,1.26,1.00,0.498,2.28,4.85,2.75,0.875,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.738,6.63,20.0,–,22.3,16.3,18.6,5  1/4 ,1  1/4 ,–,C180X22,C180X22,22.0,2790,178,178,–,–,–,58.4,57.2,–,–,–,10.6,11.1,6.35,9.30,9.52,–,–,–,22.2,22.2,–,13.5,–,11.2,7.85,–,–,6.28,–,12.9,–,–,11.3,160,127,63.8,0.570,26.7,12.7,14.2,–,–,–,111,3.52,–,3080,0.524,0.416,0.207,37.4,79.5,69.9,0.875,–,–,–,–,–,–,–,–,–,–,–,–,–,–,18.7,168,508,–,566,414,472,133,31.8,–
C,C7X12.25,C7X12.25,–,12.25,3.59,7.00,7      ,–,–,–,2.19,2  1/4 ,–,–,–,0.314,  5/16,  3/16,0.366,  3/8 ,–,–,–,0.875,  7/8 ,–,0.525,–,0.538,0.257,–,–,5.98,–,17.3,–,–,24.2,8.46,6.92,2.59,1.16,1.42,0.696,0.568,–,–,–,0.161,11.2,–,4.44,1.09,0.793,0.406,2.28,4.20,2.86,0.862,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.722,6.63,19.7,–,21.9,16.2,18.4,5  1/4 ,1  1/4 ,–,C180X18.2,C180X18.2,18.2,2320,178,178,–,–,–,55.6,57.2,–,–,–,7.98,7.94,4.76,9.30,9.52,–,–,–,22.2,22.2,–,13.3,–,13.7,6.53,–,–,5.98,–,17.3,–,–,10.1,139,113,65.8,0.483,23.3,11.4,14.4,–,–,–,67.0,3.01,–,2860,0.454,0.330,0.169,37.4,68.8,72.6,0.862,–,–,–,–,–,–,–,–,–,–,–,–,–,–,18.3,168,500,–,556,411,467,133,31.8,–
C,C7X9.8,C7X9.8,–,9.80,2.87,7.00,7      ,–,–,–,2.09,2  1/8 ,–,–,–,0.210,  3/16,  1/8 ,0.366,  3/8 ,–,–,–,0.875,  7/8 ,–,0.541,–,0.647,0.205,–,–,5.71,–,25.8,–,–,21.2,7.19,6.07,2.72,0.957,1.26,0.617,0.578,–,–,–,0.0996,9.15,–,4.09,0.922,0.579,0.289,2.28,3.57,3.02,0.845,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.698,6.63,19.4,–,21.5,16.1,18.2,5  1/4 ,1  1/4 ,–,C180X14.6,C180X14.6,14.6,1850,178,178,–,–,–,53.1,54.0,–,–,–,5.33,4.76,3.18,9.30,9.52,–,–,–,22.2,22.2,–,13.7,–,16.4,5.21,–,–,5.71,–,25.8,–,–,8.82,118,99.5,69.1,0.398,20.6,10.1,14.7,–,–,–,41.5,2.46,–,2640,0.384,0.241,0.120,37.4,58.5,76.7,0.845,–,–,–,–,–,–,–,–,–,–,–,–,–,–,17.7,168,493,–,546,409,462,133,31.8,–
C,C6X13,C6X13,–,13.0,3.82,6.00,6      ,–,–,–,2.16,2  1/8 ,–,–,–,0.437,  7/16,  1/4 ,0.343,  5/16,–,–,–,0.813, 13/16,–,0.514,–,0.380,0.318,–,–,6.30,–,10.5,–,–,17.3,7.29,5.78,2.13,1.05,1.35,0.638,0.524,–,–,–,0.237,7.19,–,3.80,0.875,0.702,0.345,1.67,3.64,2.37,0.858,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.689,5.66,17.6,–,19.8,14.2,16.3,4  3/8 ,1  3/8 ,–,C150X19.3,C150X19.3,19.3,2460,152,152,–,–,–,54.9,54.0,–,–,–,11.1,11.1,6.35,8.71,7.94,–,–,–,20.7,20.6,–,13.1,–,9.65,8.08,–,–,6.30,–,10.5,–,–,7.20,119,94.7,54.1,0.437,22.1,10.5,13.3,–,–,–,98.6,1.93,–,2450,0.364,0.292,0.144,27.4,59.6,60.2,0.858,–,–,–,–,–,–,–,–,–,–,–,–,–,–,17.5,144,447,–,503,361,414,111,34.9,–
C,C6X10.5,C6X10.5,–,10.5,3.07,6.00,6      ,–,–,–,2.03,2      ,–,–,–,0.314,  5/16,  3/16,0.343,  5/16,–,–,–,0.813, 13/16,–,0.500,–,0.486,0.256,–,–,5.92,–,14.7,–,–,15.1,6.18,5.04,2.22,0.860,1.14,0.561,0.529,–,–,–,0.128,5.91,–,3.48,0.734,0.534,0.275,1.66,3.08,2.48,0.842,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.669,5.66,17.3,–,19.3,14.0,16.1,4  3/8 ,1  1/8 ,–,C150X15.6,C150X15.6,15.6,1980,152,152,–,–,–,51.6,50.8,–,–,–,7.98,7.94,4.76,8.71,7.94,–,–,–,20.7,20.6,–,12.7,–,12.3,6.50,–,–,5.92,–,14.7,–,–,6.29,101,82.6,56.4,0.358,18.7,9.19,13.4,–,–,–,53.3,1.59,–,2250,0.306,0.222,0.114,27.2,50.5,63.0,0.842,–,–,–,–,–,–,–,–,–,–,–,–,–,–,17.0,144,439,–,490,356,409,111,28.6,–
C,C6X8.2,C6X8.2,–,8.20,2.39,6.00,6      ,–,–,–,1.92,1  7/8 ,–,–,–,0.200,  3/16,  1/8 ,0.343,  5/16,–,–,–,0.813, 13/16,–,0.512,–,0.599,0.199,–,–,5.60,–,23.0,–,–,13.1,5.16,4.35,2.34,0.687,0.987,0.488,0.536,–,–,–,0.0736,4.70,–,3.17,0.610,0.373,0.187,1.67,2.57,2.65,0.824,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.643,5.66,17.0,–,18.9,13.9,15.8,4  3/8 ,1  1/8 ,–,C150X12.2,C150X12.2,12.2,1540,152,152,–,–,–,48.8,47.6,–,–,–,5.08,4.76,3.18,8.71,7.94,–,–,–,20.7,20.6,–,13.0,–,15.2,5.05,–,–,5.60,–,23.0,–,–,5.45,84.6,71.3,59.4,0.286,16.2,8.00,13.6,–,–,–,30.6,1.26,–,2050,0.254,0.155,0.0778,27.4,42.1,67.3,0.824,–,–,–,–,–,–,–,–,–,–,–,–,–,–,16.3,144,432,–,480,353,401,111,28.6,–
C,C5X9,C5X9,–,9.00,2.64,5.00,5      ,–,–,–,1.89,1  7/8 ,–,–,–,0.325,  5/16,  3/16,0.320,  5/16,–,–,–,0.750,  3/4 ,–,0.478,–,0.427,0.264,–,–,5.91,–,11.1,–,–,8.89,4.39,3.56,1.84,0.624,0.913,0.444,0.486,–,–,–,0.109,2.93,–,2.66,0.485,0.355,0.170,1.17,2.19,2.10,0.815,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.616,4.68,14.9,–,16.8,11.9,13.8,3  1/2 ,1  1/8 ,–,C130X13,C130X13,13.0,1700,127,127,–,–,–,48.0,47.6,–,–,–,8.26,7.94,4.76,8.13,7.94,–,–,–,19.1,19.1,–,12.1,–,10.8,6.71,–,–,5.91,–,11.1,–,–,3.70,71.9,58.3,46.7,0.260,15.0,7.28,12.3,–,–,–,45.4,0.787,–,1720,0.202,0.148,0.0708,19.2,35.9,53.3,0.815,–,–,–,–,–,–,–,–,–,–,–,–,–,–,15.6,119,378,–,427,302,351,88.9,28.6,–
C,C5X6.7,C5X6.7,–,6.70,1.97,5.00,5      ,–,–,–,1.75,1  3/4 ,–,–,–,0.190,  3/16,  1/8 ,0.320,  5/16,–,–,–,0.750,  3/4 ,–,0.484,–,0.552,0.215,–,–,5.47,–,19.1,–,–,7.48,3.55,2.99,1.95,0.470,0.757,0.372,0.489,–,–,–,0.0549,2.22,–,2.36,0.380,0.224,0.113,1.17,1.76,2.26,0.790,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.584,4.68,14.5,–,16.3,11.8,13.5,3  1/2 ,–,–,C130X10.4,C130X10.4,10.4,1270,127,127,–,–,–,44.5,44.4,–,–,–,4.83,4.76,3.18,8.13,7.94,–,–,–,19.1,19.1,–,12.3,–,14.0,5.46,–,–,5.47,–,19.1,–,–,3.11,58.2,49.0,49.5,0.196,12.4,6.10,12.4,–,–,–,22.9,0.596,–,1520,0.158,0.0932,0.0470,19.2,28.8,57.4,0.790,–,–,–,–,–,–,–,–,–,–,–,–,–,–,14.8,119,368,–,414,300,343,88.9,–,–
C,C4X7.25,C4X7.25,–,7.25,2.13,4.00,4      ,–,–,–,1.72,1  3/4 ,–,–,–,0.321,  5/16,  3/16,0.296,  5/16,–,–,–,0.750,  3/4 ,–,0.459,–,0.386,0.266,–,–,5.81,–,8.41,–,–,4.58,2.84,2.29,1.47,0.425,0.695,0.337,0.447,–,–,–,0.0817,1.24,–,1.88,0.281,0.199,0.101,0.767,1.41,1.75,0.767,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.563,3.70,12.4,–,14.2,9.72,11.4,2  1/2 ,1      ,–,C100X10.8,C100X10.8,10.8,1370,102,102,–,–,–,43.7,44.4,–,–,–,8.15,7.94,4.76,7.52,7.94,–,–,–,19.1,19.1,–,11.7,–,9.80,6.76,–,–,5.81,–,8.41,–,–,1.91,46.5,37.5,37.3,0.177,11.4,5.52,11.4,–,–,–,34.0,0.333,–,1210,0.117,0.0828,0.0420,12.6,23.1,44.5,0.767,–,–,–,–,–,–,–,–,–,–,–,–,–,–,14.3,94.0,315,–,361,247,290,63.5,25.4,–
C,C4X6.25,C4X6.25,–,6.25,1.84,4.00,4      ,–,–,–,1.65,1  5/8 ,–,–,–,0.247,  1/4 ,  1/8 ,0.296,  5/16,–,–,–,0.750,  3/4 ,–,0.453,–,0.447,0.233,–,–,5.57,–,10.9,–,–,4.19,2.55,2.10,1.51,0.374,0.623,0.312,0.451,–,–,–,0.0549,1.07,–,1.77,0.250,0.161,0.0807,0.769,1.26,1.81,0.753,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.549,3.70,11.7,–,13.3,9.65,11.3,2  1/2 ,–,–,C100X9.3,C100X9.3,9.30,1190,102,102,–,–,–,41.9,41.3,–,–,–,6.27,6.35,3.18,7.52,7.94,–,–,–,19.1,19.1,–,11.5,–,11.4,5.92,–,–,5.57,–,10.9,–,–,1.74,41.8,34.4,38.4,0.156,10.2,5.11,11.5,–,–,–,22.8,0.287,–,1140,0.104,0.0670,0.0336,12.6,20.7,46.0,0.753,–,–,–,–,–,–,–,–,–,–,–,–,–,–,13.9,94.0,297,–,338,245,287,63.5,–,–
C,C4X5.4,C4X5.4,–,5.40,1.58,4.00,4      ,–,–,–,1.58,1  5/8 ,–,–,–,0.184,  3/16,  1/8 ,0.296,  5/16,–,–,–,0.750,  3/4 ,–,0.457,–,0.501,0.231,–,–,5.34,–,14.7,–,–,3.85,2.29,1.92,1.56,0.312,0.565,0.277,0.444,–,–,–,0.0399,0.921,–,1.66,0.219,0.123,0.0637,0.765,1.13,1.88,0.742,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.528,3.70,12.1,–,13.6,9.58,11.2,2  1/2 ,–,–,C100X8,C100X8,8.00,1020,102,102,–,–,–,40.1,41.3,–,–,–,4.67,4.76,3.18,7.52,7.94,–,–,–,19.1,19.1,–,11.6,–,12.7,5.87,–,–,5.34,–,14.7,–,–,1.60,37.5,31.5,39.6,0.130,9.26,4.54,11.3,–,–,–,16.6,0.247,–,1070,0.0912,0.0512,0.0265,12.5,18.5,47.8,0.742,–,–,–,–,–,–,–,–,–,–,–,–,–,–,13.4,94.0,307,–,345,243,284,63.5,–,–
C,C4X4.5,C4X4.5,–,4.50,1.34,4.00,4      ,–,–,–,1.52,1  1/2 ,–,–,–,0.125,  1/8 ,  1/16,0.296,  5/16,–,–,–,0.750,  3/4 ,–,0.473,–,0.556,0.305,–,–,5.14,–,21.6,–,–,3.53,2.05,1.77,1.62,0.265,0.495,0.253,0.445,–,–,–,0.0306,0.778,–,1.55,0.193,0.0883,0.0442,0.765,1.01,1.97,0.727,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.506,3.70,11.5,–,13.0,9.52,11.0,2  1/2 ,–,–,C100X6.7,C100X6.7,6.70,865,102,102,–,–,–,38.6,38.1,–,–,–,3.18,3.18,1.59,7.52,7.94,–,–,–,19.1,19.1,–,12.0,–,14.1,7.75,–,–,5.14,–,21.6,–,–,1.47,33.6,29.0,41.1,0.110,8.11,4.15,11.3,–,–,–,12.7,0.209,–,1000,0.0803,0.0368,0.0184,12.5,16.6,50.0,0.727,–,–,–,–,–,–,–,–,–,–,–,–,–,–,12.9,94.0,292,–,330,242,279,63.5,–,–
C,C3X6,C3X6,–,6.00,1.76,3.00,3      ,–,–,–,1.60,1  5/8 ,–,–,–,0.356,  3/8 ,  3/16,0.273,  1/4 ,–,–,–,0.688, 11/16,–,0.455,–,0.322,0.294,–,–,5.86,–,5.03,–,–,2.07,1.74,1.38,1.09,0.300,0.543,0.263,0.413,–,–,–,0.0725,0.462,–,1.26,0.158,0.112,0.0538,0.463,0.864,1.40,0.690,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.519,2.73,10.1,–,11.7,7.60,9.20,1  5/8 ,–,–,C75X8.9,C75X8.9,8.90,1140,76.2,76.2,–,–,–,40.6,41.3,–,–,–,9.04,9.52,4.76,6.93,6.35,–,–,–,17.5,17.5,–,11.6,–,8.18,7.47,–,–,5.86,–,5.03,–,–,0.862,28.5,22.6,27.7,0.125,8.90,4.31,10.5,–,–,–,30.2,0.124,–,813,0.0658,0.0466,0.0224,7.59,14.2,35.6,0.690,–,–,–,–,–,–,–,–,–,–,–,–,–,–,13.2,69.3,257,–,297,193,234,41.3,–,–
C,C3X5,C3X5,–,5.00,1.47,3.00,3      ,–,–,–,1.50,1  1/2 ,–,–,–,0.258,  1/4 ,  1/8 ,0.273,  1/4 ,–,–,–,0.688, 11/16,–,0.439,–,0.392,0.245,–,–,5.49,–,6.94,–,–,1.85,1.52,1.23,1.12,0.241,0.464,0.228,0.405,–,–,–,0.0425,0.379,–,1.16,0.135,0.0840,0.0412,0.462,0.753,1.45,0.673,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.496,2.73,9.86,–,11.4,7.50,9.00,1  5/8 ,–,–,C75X7.4,C75X7.4,7.40,948,76.2,76.2,–,–,–,38.1,38.1,–,–,–,6.55,6.35,3.18,6.93,6.35,–,–,–,17.5,17.5,–,11.2,–,9.96,6.22,–,–,5.49,–,6.94,–,–,0.770,24.9,20.2,28.4,0.100,7.60,3.74,10.3,–,–,–,17.7,0.102,–,748,0.0562,0.0350,0.0171,7.57,12.3,36.8,0.673,–,–,–,–,–,–,–,–,–,–,–,–,–,–,12.6,69.3,250,–,290,191,229,41.3,–,–
C,C3X4.1,C3X4.1,–,4.10,1.20,3.00,3      ,–,–,–,1.41,1  3/8 ,–,–,–,0.170,  3/16,  1/8 ,0.273,  1/4 ,–,–,–,0.688, 11/16,–,0.437,–,0.461,0.262,–,–,5.16,–,10.5,–,–,1.65,1.32,1.10,1.18,0.191,0.399,0.196,0.398,–,–,–,0.0269,0.307,–,1.06,0.113,0.0575,0.0290,0.462,0.653,1.53,0.655,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.469,2.73,9.61,–,11.0,7.41,8.82,1  5/8 ,–,–,C75X6.1,C75X6.1,6.10,774,76.2,76.2,–,–,–,35.8,34.9,–,–,–,4.32,4.76,3.18,6.93,6.35,–,–,–,17.5,17.5,–,11.1,–,11.7,6.65,–,–,5.16,–,10.5,–,–,0.687,21.6,18.0,30.0,0.0795,6.54,3.21,10.1,–,–,–,11.2,0.0824,–,684,0.0470,0.0239,0.0121,7.57,10.7,38.9,0.655,–,–,–,–,–,–,–,–,–,–,–,–,–,–,11.9,69.3,244,–,279,188,224,41.3,–,–
C,C3X3.5,C3X3.5,–,3.50,1.09,3.00,3      ,–,–,–,1.37,1  3/8 ,–,–,–,0.132,  1/8 ,  1/16,0.273,  1/4 ,–,–,–,0.688, 11/16,–,0.443,–,0.493,0.296,–,–,5.02,–,13.6,–,–,1.57,1.24,1.04,1.20,0.169,0.364,0.182,0.394,–,–,–,0.0226,0.276,–,1.02,0.103,0.0452,0.0235,0.461,0.609,1.57,0.646,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.456,2.73,9.50,–,10.9,7.37,8.74,1  5/8 ,–,–,C75X5.2,C75X5.2,5.20,703,76.2,76.2,–,–,–,34.8,34.9,–,–,–,3.35,3.18,1.59,6.93,6.35,–,–,–,17.5,17.5,–,11.3,–,12.5,7.52,–,–,5.02,–,13.6,–,–,0.653,20.3,17.0,30.5,0.0703,5.96,2.98,10.0,–,–,–,9.41,0.0741,–,658,0.0429,0.0188,0.00978,7.55,9.98,39.9,0.646,–,–,–,–,–,–,–,–,–,–,–,–,–,–,11.6,69.3,241,–,277,187,222,41.3,–,–
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
